Year,Rk,Player,Tm,G,GS,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
2017,1,James Harden\hardeja01,HOU,81,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847
2017,2,Kevin Durant\duranke01,GSW,62,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875
2017,3,Russell Westbrook\westbru01,OKC,81,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845
2017,4,LeBron James\jamesle01,CLE,74,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674
2017,5,Stephen Curry\curryst01,GSW,79,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898
2017,6,Kawhi Leonard\leonaka01,SAS,74,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.381,0.88
2017,7,Chris Paul\paulch01,LAC,61,61,31.5,18.1,5,9.2,1.9,0.1,0.476,0.411,0.892
2017,8,Isaiah Thomas\thomais02,BOS,76,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909
2017,9,Kyle Lowry\lowryky01,TOR,60,60,37.4,22.4,4.8,7,1.5,0.3,0.464,0.412,0.819
2017,10,Jimmy Butler\butleji01,CHI,76,75,37,23.9,6.2,5.5,1.9,0.4,0.455,0.367,0.865
